key,ID,Auscultation_Point,gt_y,gt_str,step1_yhat,fused_min_yhat,pcg_yhat,ecg_yhat,step1_correct,fused_correct,winner
162||MV,162,MV,2,uncertain,0,0,0,0,False,False,both_wrong
48||PV,48,PV,1,low_quality,0,0,1,0,False,False,both_wrong
179||TV_2,179,TV_2,0,high_quality,2,0,2,0,False,True,fusion_only
55||PV,55,PV,2,uncertain,2,0,2,0,True,False,step1_only
10||TV_2,10,TV_2,0,high_quality,2,0,0,0,False,True,fusion_only
68||AV,68,AV,1,low_quality,1,1,1,1,True,True,both_correct
82||TV,82,TV,2,uncertain,2,1,1,1,True,False,step1_only
32||PV,32,PV,1,low_quality,0,0,0,2,False,False,both_wrong
10||AV,10,AV,2,uncertain,1,0,0,0,False,False,both_wrong
194||MV,194,MV,1,low_quality,2,1,1,1,False,True,fusion_only
16||TV,16,TV,0,high_quality,0,0,0,0,True,True,both_correct
47||TV,47,TV,1,low_quality,1,0,0,1,True,False,step1_only
86||MV,86,MV,1,low_quality,1,1,1,2,True,True,both_correct
61||AV,61,AV,1,low_quality,1,1,1,1,True,True,both_correct
154||MV,154,MV,0,high_quality,0,0,0,0,True,True,both_correct
18||MV,18,MV,0,high_quality,2,0,0,0,False,True,fusion_only
38||AV,38,AV,1,low_quality,0,1,1,1,False,True,fusion_only
152||TV,152,TV,0,high_quality,0,0,1,0,True,True,both_correct
9||TV,9,TV,0,high_quality,0,0,0,0,True,True,both_correct
195||MV,195,MV,2,uncertain,0,0,2,0,False,False,both_wrong
1||PV,1,PV,0,high_quality,0,0,0,0,True,True,both_correct
43||MV,43,MV,1,low_quality,0,0,1,0,False,False,both_wrong
151||MV_2,151,MV_2,2,uncertain,0,0,0,0,False,False,both_wrong
151||TV,151,TV,2,uncertain,2,0,1,0,True,False,step1_only
173||PV,173,PV,0,high_quality,0,0,2,0,True,True,both_correct
96||PV,96,PV,1,low_quality,1,1,1,1,True,True,both_correct
70||AV,70,AV,1,low_quality,1,1,1,1,True,True,both_correct
63||AV,63,AV,2,uncertain,1,1,1,1,False,False,both_wrong
44||PV,44,PV,0,high_quality,0,0,0,0,True,True,both_correct
157||AV,157,AV,0,high_quality,0,0,1,0,True,True,both_correct
157||MV,157,MV,2,uncertain,0,0,1,0,False,False,both_wrong
193||MV,193,MV,2,uncertain,2,1,1,2,True,False,step1_only
10||TV,10,TV,2,uncertain,2,0,0,0,True,False,step1_only
80||PV,80,PV,1,low_quality,2,0,1,0,False,False,both_wrong
152||PV_2,152,PV_2,2,uncertain,0,0,0,0,False,False,both_wrong
31||PV,31,PV,1,low_quality,2,1,1,2,False,True,fusion_only
40||AV,40,AV,2,uncertain,2,2,2,2,True,True,both_correct
23||AV,23,AV,2,uncertain,0,0,1,0,False,False,both_wrong
156||PV,156,PV,2,uncertain,0,0,0,0,False,False,both_wrong
13||MV,13,MV,1,low_quality,1,1,2,1,True,True,both_correct
14||AV,14,AV,2,uncertain,1,0,0,0,False,False,both_wrong
194||TV,194,TV,2,uncertain,2,0,0,0,True,False,step1_only
60||TV,60,TV,2,uncertain,2,1,1,2,True,False,step1_only
78||MV,78,MV,2,uncertain,2,1,1,2,True,False,step1_only
58||TV,58,TV,1,low_quality,1,1,1,2,True,True,both_correct
45||PV,45,PV,0,high_quality,0,0,0,0,True,True,both_correct
61||PV,61,PV,2,uncertain,0,1,1,2,False,False,both_wrong
65||TV,65,TV,2,uncertain,1,1,1,1,False,False,both_wrong
53||PV,53,PV,1,low_quality,0,0,2,0,False,False,both_wrong
171||PV,171,PV,2,uncertain,1,0,1,0,False,False,both_wrong
28||PV,28,PV,1,low_quality,2,1,1,1,False,True,fusion_only
70||PV,70,PV,1,low_quality,1,1,1,1,True,True,both_correct
24||TV,24,TV,2,uncertain,0,0,0,0,False,False,both_wrong
7||AV,7,AV,0,high_quality,0,0,0,0,True,True,both_correct
148||AV,148,AV,2,uncertain,2,0,0,2,True,False,step1_only
5||PV,5,PV,0,high_quality,0,0,0,0,True,True,both_correct
194||AV,194,AV,1,low_quality,1,1,1,2,True,True,both_correct
7||MV,7,MV,0,high_quality,0,0,0,0,True,True,both_correct
55||TV,55,TV,2,uncertain,0,2,2,2,False,True,fusion_only
153||TV,153,TV,2,uncertain,0,0,2,0,False,False,both_wrong
59||MV,59,MV,1,low_quality,0,0,1,0,False,False,both_wrong
97||MV,97,MV,1,low_quality,1,1,1,2,True,True,both_correct
20||MV,20,MV,2,uncertain,1,0,0,1,False,False,both_wrong
171||TV,171,TV,0,high_quality,2,0,1,0,False,True,fusion_only
27||AV,27,AV,2,uncertain,1,0,0,1,False,False,both_wrong
35||AV,35,AV,1,low_quality,2,0,0,2,False,False,both_wrong
